method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.0094,-9.037490370164549e-06,-0.0009862258174686,2.2010928032267043,-4.214250970094313e-06,-0.0004598846513558,1.026386430454465,-0.00034239476680898717,-0.0294928979129675,10.627552844599077,-0.0001427877871775,48.64631258218583
CALG,0.0096,-9.088843524476808e-06,-0.0002567633129443,2.4228979081949844,-4.2381973392249805e-06,-0.0001197306991591,1.1298158495190473,-0.00034786070066449015,-0.0273296591551073,10.502431873775151,-0.0001482537280605,48.42377756162219
CALG,0.0098,-8.990557545121569e-06,0.000491432280568,2.592964004525364,-4.192365834369827e-06,0.0002291586358934,1.2091189726304286,-0.00035290032837319296,-0.0251981287287351,10.357248475181157,-0.0001532933422348,48.12299245987566
CALG,0.01,-8.741586993210593e-06,0.0012448550647904,2.7125715837100928,-4.076268959374296e-06,0.0005804854500048,1.2648929027776479,-0.0003575206133635961,-0.0231014154606691,10.1934360159806,-0.0001579135936637,47.7477716544767
CALG,0.0102,-8.343332563567896e-06,0.0019912743768813,2.783994129085292,-3.890559868921506e-06,0.0009285464914275,1.2981977826510267,-0.0003617291301619002,-0.0210425748162464,10.01221469782586,-0.0001621220587634,47.30231543002921
CALG,0.0104,-7.799360453975002e-06,0.0027198627067821,2.8103317872937086,-3.636901508390078e-06,0.0012682928093026,1.3104792343714802,-0.0003655340572354948,-0.0190246264796167,9.814632460858912,-0.0001659269191341,46.79114718944663
CALG,0.0106,-7.115105482499717e-06,0.00342127695705,2.7953456778443044,-3.31782817505899e-06,0.0015953676457416,1.3034910967692732,-0.00036894417132658786,-0.0170505618110355,9.601603999076175,-0.0001693369557173,46.21904469544961
CALG,0.0108,-6.2975665545417225e-06,0.0040876966936323,2.7432965656708848,-2.936603512110336e-06,0.0019061242724556,1.2792201971626393,-0.00037196884150939025,-0.0151233424583333,9.373947124199947,-0.0001723615426292,45.59096996666398
CALG,0.011,-5.355002241497209e-06,0.0047128235891381,2.6549326778491555,-2.4970785546321594e-06,0.0021976257311486,1.2380154395670184,-0.00037461802146938894,-0.0132458914678079,9.146648928969077,-0.0001750106391896,44.91200147057906
CALG,0.0112,-4.29663331349972e-06,0.0052918466510959,2.534619150020199,-2.003553018353754e-06,0.0024676286191879,1.1819123201607322,-0.00037690223877889784,-0.0114210782671749,8.924192500521167,-0.0001772947789387,44.1872712863368
CALG,0.0114,-3.132358103563604e-06,0.0058213780667232,2.3883530032855673,-1.460642571761428e-06,0.0027145531735285,1.1137072958095502,-0.0003788325802162873,-0.0096516988840872,8.70593822180442,-0.0001792250547065,43.421909007164814
CALG,0.0116,-1.8724855928714532e-06,0.0062993645954317,2.2220601867827323,-8.731543717152568e-07,0.0029374419523602,1.0361636819781148,-0.0003804206724421916,-0.0079404527225632,8.491193646887293,-0.0001808130990607,42.62099335285226
CALG,0.0118,-5.27490127313901e-07,0.0067249794149296,2.0414665333492437,-2.459726859346812e-07,0.0031359094021164,0.951951478367889,-0.00038167865759079767,-0.0062899171512598,8.279244916588683,-0.0001820710597031,41.78951178885227
CALG,0.012,8.922092806229465e-07,0.0070984991918187,1.8519882694534255,4.1604402024192366e-07,0.0033100845345521,0.8635963128593568,-0.0003826191635762921,-0.0047025210667402,8.069383447465546,-0.0001830115696194,40.93232791247839
CALG,0.0122,2.37644301684381e-06,0.0074211709191327,1.6586423237166434,1.1081535779416951e-06,0.0034605488320687,0.7734376176890746,-0.00038325526911608954,-0.0031805184864112,7.86092793806937,-0.0001836477119894,40.05415597129056
CALG,0.0124,3.915457099615272e-06,0.0076950727577324,1.465976194392569,1.8258076307439697e-06,0.0035882713569905,0.6835959261181765,-0.00038360046366679723,-0.0017259631044124,7.653241841183119,-0.0001839929800515,39.15954161592197
CALG,0.0126,5.500051156015484e-06,0.007922972752041,1.2780167142928538,2.5647159742903103e-06,0.0036945428696301,0.5959489811248475,-0.0003836686026233993,-0.0003406846137686,7.445746539275479,-0.0001840612322721,38.25284784880983
CALG,0.0128,7.121688408592841e-06,0.0081081888789624,1.098236694288909,3.320897843918369e-06,0.0037809105680273,0.51211618101375,-0.00038347385826999203,0.0009737325362905,7.237930532556434,-0.0001838666433025,37.338245093774894
CALG,0.013,8.769337358049967e-06,0.0082382475414597,0.9295381343531358,4.089209166995012e-06,0.0038415579183592,0.433450750595979,-0.00038301871129770015,0.0022757463632249,7.029355005041641,-0.0001834116951024,37.04730328893373
CALG,0.0132,1.0432397330867316e-05,0.008315302871231,0.7742504632187147,4.8647067683108e-06,0.0038774894087333,0.36103892032894375,-0.0003823026896346976,0.0035801206936718,6.819656174571217,-0.0001826959158746,36.929546597517806
CALG,0.0134,1.210204293952688e-05,0.0083482312959168,0.634142101870635,5.643275302030792e-06,0.0038928441853352,0.2957053184607861,-0.0003813266060605919,0.004880431260032,6.608544858643788,-0.0001817201179474,36.76472410170194
CALG,0.0136,1.3771214922353447e-05,0.0083458634415072,0.5104435387933246,6.421622980402886e-06,0.0038917400366906,0.23802373119506734,-0.00038009255346328763,0.0061702775075808,6.395803700366062,-0.0001804863932375,36.55243599898052
CALG,0.0138,1.5434569382050123e-05,0.008316776127011,0.40388005181794284,7.1972579031368e-06,0.0038781763991859,0.18833236113874646,-0.0003786038872824887,0.0074433466627713,6.181282499072648,-0.0001789980959011,36.29256089302199
CALG,0.014,1.708839139230589e-05,0.0082691142030169,0.3147122074231706,7.968447771782017e-06,0.003855951279025,0.1467527124362904,-0.00037686519638589766,0.0086934715722051,5.964892079669927,-0.0001772598134065,35.98526972528211
CALG,0.0142,1.8730479089609783e-05,0.0082104429788682,0.24278230779336943,8.734165840400265e-06,0.0038285924378912,0.11321124938859442,-0.000374882263692089,0.0099146819612071,5.746597115046262,-0.0001752773273342,35.6310270051701
CALG,0.0144,2.036000435839957e-05,0.0081476311898549,0.18756503285251694,9.494025952370975e-06,0.0037993028196519,0.08746301122122446,-0.0003726620178930995,0.0111012489411951,5.526408288484251,-0.0001730575652491,35.23058229144071
CALG,0.0146,2.197735606772333e-05,0.008086763754034,0.1482206327131369,1.0248209440344436e-05,0.0037709198681963,0.0691164161307167,-0.0003702124776282928,0.0122477227576002,5.304374149489989,-0.0001706085449946,34.78495481739628
CALG,0.0148,2.358397154619829e-05,0.0080330829638138,0.12364915935354653,1.099738654168625e-05,0.0037458881046208,0.05765854993098901,-0.0003675426894319961,0.0133489639133339,5.080572978338362,-0.0001679393127302,34.295413888056665
CALG,0.015,2.518216161012665e-05,0.0079909562531526,0.11254437885799341,1.1742634807687669e-05,0.0037262440968266,0.05248030574378212,-0.00036466266073109654,0.0144001679256339,4.855104933344889,-0.0001650598759882,33.7634572804274
CALG,0.0152,2.6774934007864348e-05,0.0079638682773269,0.11730457221249597,1.248535677445678e-05,0.0037136127662552,0.05470002035928459,-0.00036158328909259574,0.0153968840762864,4.613851658322653,-0.0001619811329529,33.190789413297644
CALG,0.0154,2.8365819628561884e-05,0.0079544347366597,0.13680935080253573,1.3227198922619032e-05,0.0037092138339986,0.06379524798643696,-0.00035831628883339905,0.0163350285966462,4.353172338997875,-0.000158714799077,32.57930056905611
CALG,0.0156,2.9958705268770536e-05,0.0079644351641973,0.16831982841294013,1.3969973695217295e-05,0.0037138771099442,0.07848882500828995,-0.0003548741160070007,0.0172108927902099,4.074542013066671,-0.000155273332054,31.931047989345032
CALG,0.0158,3.1557676168497695e-05,0.007994861774246,0.20910650373662948,1.4715586070947195e-05,0.0037280652712216,0.0975079640624075,-0.0003512698926680935,0.0180211466377001,3.779498084607379,-0.0001516698560504,31.24823925659168
CALG,0.016,3.3166870940182225e-05,0.0080459814267416,0.2565135638293807,1.5465965916422464e-05,0.0037519027566625,0.1196142392342719,-0.0003475173312066926,0.0187628384538763,3.469622096777621,-0.0001479180859932,30.53321803174966
CALG,0.0162,3.4790350930902214e-05,0.0081174077933221,0.3080142207494939,1.6223007068966178e-05,0.0037852094183932,0.14362938995613259,-0.00034363065942499826,0.019433391173247,3.1465231230272814,-0.0001440322525896,29.7884519560312
CALG,0.0164,3.6431985494161934e-05,0.0082081809057283,0.36125681673755816,1.6988513837704056e-05,0.0038275376158627,0.16845682020541933,-0.00033962454691609245,0.0200305958351793,2.811822887901804,-0.0001400270286401,29.01652234082904
CALG,0.0166,3.809535411411491e-05,0.0083168514162929,0.41410167679237714,1.776415536348941e-05,0.0038782115071546,0.1930987831431115,-0.00033551403319728723,0.0205526028194763,2.467142674222378,-0.0001359174571013,28.22011516184395
CALG,0.0168,3.9783665828532766e-05,0.0084415670941492,0.46464890374494816,1.855142804529225e-05,0.003936367382831,0.21666934216959405,-0.0003313144579404903,0.0209979113533322,2.1140920243300867,-0.0001317188812424,27.402012832736084
CALG,0.017,4.149969594915981e-05,0.0085801593098381,0.5112574980128834,1.935162603218521e-05,0.0040009939943674,0.2384032866125711,-0.0003270413935519967,0.0213653577715456,1.7542591997809505,-0.0001274468771485,26.565086246690942
CALG,0.0172,4.324573967805223e-05,0.0087302275158876,0.5525563411480329,2.016581959443653e-05,0.0040709719480939,0.25766125343943364,-0.0003227105802600938,0.0216541029660636,1.3892033266679868,-0.0001231171887342,25.71228663114229
CALG,0.0174,4.502358187484512e-05,0.0088892200028648,0.5874477088789622,2.099484102579402e-05,0.0041451113623604,0.27393136541586866,-0.0003183378638003942,0.0218636194101198,1.0204481227897384,-0.0001187456653552,24.846636845474123
CALG,0.0176,4.6834481943022754e-05,0.0090545094910853,0.6151040761299804,2.1839277595740725e-05,0.0042221871165302,0.286827741261766,-0.0003139391357131899,0.0219936780883804,0.6494770781795436,-0.000114348202035,23.971221854457852
CALG,0.0178,4.867917256941301e-05,0.0092234624001841,0.6349590446249748,2.269947096174979e-05,0.0043009711519105,0.2960862651234077,-0.0003095302762184948,0.0220443356090531,0.27772994192804157,-0.0001099406822744,23.08917821614256
CALG,0.018,5.055787087755725e-05,0.0093935009153465,0.6466932648608653,2.3575522370193613e-05,0.004380261413712,0.3015580218818815,-0.00030512709958958883,0.0220159217186242,-0.09339964454233275,-0.0001055389233646,22.2036825281158
CALG,0.0182,5.247030043005474e-05,0.0095621572344412,0.6502162405674519,2.446730291620625e-05,0.0044589071469022,0.3032008124333573,-0.0003007453019070877,0.0219090273859607,-0.4625655348794195,-0.0001011586240874,21.317938868994027
