method,time,ax_raw_m_s2,ux_m,vx_m_s,ax_m_s2,ay_raw_m_s2,uy_m,vy_m_s,ay_m_s2,az_raw_m_s2,uz_m,vz_m_s,az_m_s2
chrono,4.6755,-0.0014674668838637647,-0.019310308871385184,-0.0048052038605623,-0.000529074837971819,-2.3189973054101698e-05,0.06841002333338,0.0146440743794061,-0.00019023411494884415,-0.0002431449315955294,4.727568365208556e-06,1.2673823102185389e-06,0.00026550107704101036
chrono,4.676,-0.010609174189420941,-0.0193127141256092,-0.004810508447657,-0.0004942094896276784,-0.003293840557704706,0.0684173445471096,0.0146424274591273,-0.00017094458190437074,-0.001498083665432353,4.727827535447307e-06,5.183404775023494e-07,0.00024139170991994006
chrono,4.6765,-0.004874088575207412,-0.019315120598355162,-0.0048129454919446,-0.0004221531483162925,-0.0019202140651032942,0.06842466528078558,0.0146414673520947,-0.00015539231954771649,-0.000245944262600353,4.728025219620409e-06,3.953683462021461e-07,0.00016304397572770187
chrono,4.6770000000000005,-0.006386864260471765,-0.019317528667817108,-0.0048161389240749,-0.00042756139810047313,-0.0017025121557948236,0.0684319855888336,0.0146406160960168,-0.0001469994236969274,0.0037302089592082355,4.729155456033312e-06,2.260472825806293e-06,0.0002586715555217277
chrono,4.6775,-0.0013752422257501176,-0.01931993708108959,-0.0048168265451878,-0.00041172456060275153,-0.0004076306461436471,0.06843930579497401,0.0146404122806937,-0.00015468048924614406,0.00035878948507129415,4.7303753898174825e-06,2.439867568341997e-06,0.0002899865082105283
chrono,4.678,0.002148804441154706,-0.01932234495716112,-0.0048157521429672,-0.00046184078593189073,0.0009512784581618824,0.06844662623893397,0.0146408879199228,-0.0001574026240501957,-0.0018604287430149414,4.7311302164159e-06,1.509653196834501e-06,0.00023005285624618107
chrono,4.6785,0.0027269669078621175,-0.019324752151490987,-0.0048143886595132,-0.0005681324322000572,0.0004939711679384706,0.0684539468063867,0.0146411349055068,-0.00019542512720144674,-0.00047872988400423527,4.731765360543316e-06,1.2702882548323406e-06,0.00018142477436091853
chrono,4.679,0.0014537661023932941,-0.019327158982379133,-0.004813661776462,-0.0006214716620030213,-8.285815184488993e-05,0.06846126735312488,0.0146410934764309,-0.00021473866939511938,0.00024785048669941176,4.732462467292406e-06,1.394213498182053e-06,0.00023913785356717966
chrono,4.6795,0.0015923679196521178,-0.01932956541517561,-0.0048128655925022,-0.0005856792920434574,0.0011937637349012941,0.06846858819830406,0.0146416903582983,-0.00020849097839020404,-0.0007306661380774119,4.7329769075069785e-06,1.028880429143334e-06,0.0003573106114709128
chrono,4.68,0.0003232226235782353,-0.019331971767165945,-0.0048127039811904,-0.0006257970269946339,0.0003511803874849412,0.0684759091312783,0.0146418659484921,-0.00022266898060967604,-0.0010080795693591766,4.73323932782921e-06,5.248406444637332e-07,0.0002378056566937478
chrono,4.6805,0.006573007162425177,-0.019334376475904747,-0.0048094174776092,-0.0005369247005984789,0.002496669551006824,0.06848323068841991,0.0146431142832676,-0.00020828821237580387,-0.0006562264636749411,4.733337691535523e-06,1.9672741262620963e-07,0.00014094907733808068
chrono,4.681,-0.0027321016561847058,-0.019336781867669184,-0.0048107835284373,-0.0005593277086194632,-0.0011194911606723528,0.06849055196568868,0.0146425545376872,-0.0002007804917120587,-0.00012912935482470588,4.733403772903129e-06,1.321627352138357e-07,0.00016591495146202898
chrono,4.6815,-0.00042240161162682355,-0.019339187365033705,-0.0048109947292431,-0.0004329207276071389,-0.00027424865052729414,0.0684978731743954,0.014642417413362,-0.00015404721512364262,0.0007067508758247059,4.733646541989693e-06,4.855381731262032e-07,9.796729633608925e-05
chrono,4.682,-0.004881126749813294,-0.01934159408267999,-0.004813435292618,-0.000419746430941796,-0.0012519584261372941,0.06850519407011249,0.0146417914341489,-0.00014236069036054758,-0.0005124688316675294,4.733761193868339e-06,2.293037572923818e-07,0.00010913949280473775
chrono,4.6825,0.0013670811541692943,-0.019344000458556,-0.0048127517520409,-0.0003962786505238391,-5.212710305470437e-05,0.06851251495279778,0.0146417653705974,-0.00013426361750347728,0.000515587841124353,4.734004742707266e-06,4.870976778545696e-07,2.8463915079796563e-05
chrono,4.683,-0.004824022587424706,-0.019346408040437524,-0.0048151637633347,-0.0001384298589263671,-0.0012851949837118825,0.06851983551418431,0.0146411227731055,-5.5303863840051156e-05,-0.0009530146210674119,4.734010037890927e-06,1.0590367320843857e-08,-8.304554666115897e-05
chrono,4.6835,-0.0027221734305001174,-0.01934881630286278,-0.0048165248500499,-0.00019946342644707582,-0.0011204955867029412,0.06852715579544696,0.0146405625253122,-8.008512564170395e-05,-0.0022541529650009413,4.733451794833337e-06,-1.1164861151796372e-06,-0.00012493236097478307
chrono,4.684,0.0016691675552977648,-0.01935122414799595,-0.0048156902662723,-0.00023559049175785344,0.0007486755847309412,0.06853447626387851,0.0146409368631045,-8.679518654037395e-05,-0.0008373298425917647,4.7326842193151e-06,-1.5351510364755651e-06,-0.00011750164007061664
chrono,4.6845,-0.003219513974064706,-0.019353632798007503,-0.0048173000232593,-0.0002662189940543384,-0.0009121627309528235,0.06854179650426936,0.014640480781739,-9.418108741193491e-05,-0.00018754753080329413,4.731869756914161e-06,-1.6289248018772217e-06,-0.00012583453979143729
