source,step,time,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,gap,normal_x,normal_y,normal_z,contact_force_x,contact_force_y,contact_force_z,contact_force,contacts,candidate_pairs
deep_ball_joint_pendulum_mesh_cpp,15,0.0032000000000000002,0,0,-0.079853366399999903,0,0,-0.031391999999999989,0,0,-9.8100000000000005,0,0,0,0.00014663360000005644,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,16,0.0034000000000000002,0,0,-0.0798600371999999,0,0,-0.033353999999999988,0,0,-9.8100000000000005,0,0,0,0.00013996280000006157,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,17,0.0036000000000000003,0,0,-0.079867100399999891,0,0,-0.035315999999999986,0,0,-9.8100000000000005,0,0,0,0.00013289960000007118,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,18,0.0038,0,0,-0.079874555999999874,0,0,-0.037277999999999985,0,0,-9.8100000000000005,0,0,0,0.00012544400000008527,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,19,0.0040000000000000001,0,0,-0.079882403999999851,0,0,-0.039239999999999983,0,0,-9.8100000000000005,0,0,0,0.00011759600000010386,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,20,0.0042000000000000006,0,0,-0.079890644399999877,0,0,-0.041201999999999982,0,0,-9.8100000000000005,0,0,0,0.00010935560000007954,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,21,0.0044000000000000003,0,0,-0.079899277199999896,0,0,-0.04316399999999998,0,0,-9.8100000000000005,0,0,0,0.00010072280000005969,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,22,0.0045999999999999999,0,0,-0.079908302399999909,0,0,-0.045125999999999979,0,0,-9.8100000000000005,0,0,0,9.1697600000056176e-05,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,23,0.0048000000000000004,0,0,-0.079917719999999914,0,0,-0.047087999999999977,0,0,-9.8100000000000005,0,0,0,8.2280000000045311e-05,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,24,0.0050000000000000001,0,0,-0.079927529999999913,0,0,-0.049049999999999976,0,0,-9.8100000000000005,0,0,0,7.2470000000050757e-05,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,25,0.0052000000000000006,0,0,-0.079937732399999906,0,0,-0.051011999999999974,0,0,-9.8100000000000005,0,0,0,6.226760000004885e-05,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,26,0.0054000000000000003,0,0,-0.079948327199999891,0,0,-0.052973999999999972,0,0,-9.8100000000000005,0,0,0,5.1672800000063261e-05,0,0,1,0,0,0,0,148,196
