method,time,ux_m,vx_m_s,ax_raw_m_s2,ax_m_s2,uy_m,vy_m_s,ay_raw_m_s2,ay_m_s2,uz_m,vz_m_s,az_raw_m_s2,az_m_s2
calg,0.0142,1.873045901389092e-05,0.008210428042134,-0.2931676248593407,0.24277866833926046,8.734156457017306e-06,0.0038285854481054,-0.1367063279467218,0.11320953058757029,-0.00037488226082518783,0.0099146850683229,6.106003909096513,5.74659834524521
calg,0.0144,2.0359981130854687e-05,0.0081476154308369,-0.3138768514419854,0.18756148488151744,9.494015093293449e-06,0.0037992954412348,-0.1463632025991164,0.08746133277003627,-0.0003726620143521958,0.0111012523133794,5.932789095444454,5.526409559080012
calg,0.0146,2.197732952904929e-05,0.0080867471981408,-0.3041615651805014,0.14821717971820178,1.0248197030222894e-05,0.0037709121122194,-0.1418328939187586,0.06911477953659831,-0.00037021247335869423,0.0122477264002157,5.732325425150058,5.304375460573589
calg,0.0148,2.3583941542129616e-05,0.0080330656368841,-0.2682346881552862,0.12364580116644484,1.099737250707944e-05,0.0037458799823743,-0.1250799196541865,0.05765695503659435,-0.0003675426843786911,0.013348967833099,5.506164124447603,5.080574330671587
calg,0.015,2.5182127991518755e-05,0.0079909381808801,-0.2104703478363317,0.11254111202853585,1.1742619077451112e-05,0.0037262356195641,-0.0981439688752227,0.052478750902291496,-0.0003646626548367976,0.0144001721307504,5.255980219826419,4.855106328310314
calg,0.0152,2.6774896630887834e-05,0.0079638494847202,-0.1352823141221441,0.11730139344392096,1.2485339280068897e-05,0.0037136039449518,-0.0630832162345248,0.054698504038357486,-0.00036158328229819736,0.0153968885764803,4.98354250430516,4.61385310498541
calg,0.0154,2.836577835364784e-05,0.0079544152475605,-0.0470152781640097,0.1368062600859199,1.322717959723052e-05,0.0037092046791335,-0.0219236244511995,0.06379377022865176,-0.0003583162810777002,0.0163350334031698,4.690685710810997,4.353173841065031
calg,0.0156,2.99586599614432e-05,0.0079644150008943,0.0501499700852388,0.16831682603821335,1.3969952474088276e-05,0.0037138676313247,0.0233852721263341,0.0784873860335729,-0.0003548741072262884,0.0172108979157952,4.379285198517683,4.074543574132259
calg,0.0158,3.1557626697792385e-05,0.007994840957213,0.1522768498736386,0.20910359040002235,1.4715562891072507e-05,0.0037280554778632,0.0710078157578578,0.0975065643147857,-0.0003512698827955879,0.0180211520964609,4.051234363612911,3.7794997080286117
calg,0.016,3.316681717895065e-05,0.0080459599745219,0.2557385732670537,0.2565107407930435,1.5465940716483106e-05,0.0037518926567348,0.119252807456142,0.11961287945265577,-0.00034751732017249126,0.0187628442611614,3.708424895900003,3.4696237855466943
calg,0.0161999999999999,3.479029275554879e-05,0.0081173857225692,0.3572691586087455,0.30801149003654743,1.6222979789280723e-05,0.0037851990192375,0.1665972949567255,0.14362807126162846,-0.00034363064715639546,0.019433397345459,3.3527299212017394,3.146524879662358
calg,0.0164,3.6431922783727866e-05,0.0082081582314074,0.4540003473698852,0.36125418135334475,1.6988484419597216e-05,0.0038275269240839,0.2117037873304472,0.16845554420110403,-0.0003396245333370934,0.0200306023895691,2.9859899961967247,2.8118247143481496
calg,0.0166,3.809528675083329e-05,0.0083168281520461,0.5434851698782243,0.4140991409566265,1.7764123749632044e-05,0.0038782005287884,0.2534312438660092,0.19309755201933926,-0.0003355140182268873,0.0205526097739028,2.6100018585786247,2.4671445717707843
calg,0.0168,3.978359369677387e-05,0.008441543252819,0.6237091290292484,0.4646464731213572,1.855139417962504e-05,0.0039363561235857,0.2908402891226181,0.21666815880868287,-0.0003313144414960889,0.0209979187259752,2.226509781910917,2.114093993550669
calg,0.017,4.149961893638865e-05,0.0085801349041101,0.6930901469254789,0.5112551799166385,1.935158985952312e-05,0.0040009824599216,0.3231931880492354,0.23840215468385123,-0.00032704137554559476,0.0213653655806606,1.8371993406023048,1.7542612404922202
calg,0.0172,4.3245657673995914e-05,0.0087302025590627,0.7504685491887397,0.5525541447248805,2.0165781060801916e-05,0.0040709601444553,0.3499491755956646,0.2576601774816574,-0.000322710560600889,0.0216541112296711,1.4436933545138546,1.3892054379174383
calg,0.0174,4.502349477213119e-05,0.0088891945097044,0.795088445883949,0.5874456452373378,2.099480007886761e-05,0.0041450992962604,0.3707557744952367,0.2739303508983472,-0.0003183378423942951,0.0218636281457342,1.0475497612328029,1.020450302867881
calg,0.0176,4.683438963785924e-05,0.0090544834787132,0.8265719129378649,0.6151021584209604,2.1839234184757583e-05,0.0042221747958456,0.3854367558638954,0.286826794621701,-0.0003139391124620944,0.0219936873127421,0.650261144981716,0.6494793246493182
calg,0.0178,4.867907496201862e-05,0.0092234358890142,0.8448873838354864,0.6349572880578291,2.2699425037561727e-05,0.0043009585860995,0.3939774000070935,0.2960853937735394,-0.0003095302510215947,0.0220443453378565,0.2532556457382349,0.2777322516824149
calg,0.018,5.0557767873216086e-05,0.0093934739299893,0.8503136345428673,0.6466916866513818,2.3575473886101872e-05,0.0043802486142413,0.3965077023135055,0.30155723418698754,-0.0003051270723428978,0.0220159319662977,-0.1421010277376098,-0.09339727520545218
calg,0.0182,5.247019193962976e-05,0.0095621298045681,0.8434006891006742,0.6502148598142102,2.4467251828162728e-05,0.0044588941276556,0.393284143233163,0.30320011765321536,-0.0003007452725048987,0.021909038165462,-0.5345027514215847,-0.462563110161257
calg,0.0184,5.441560838531645e-05,0.0097270917908398,0.8249288927934032,0.6456437352134792,2.53744143669174e-05,0.0045358171527766,0.3846706037822653,0.30106856845639235,-0.00029640037939519803,0.0217245048937312,-0.9226995625018726,-0.8284671797994663
calg,0.0186,5.639285485188605e-05,0.0098862419812829,0.7958673002269298,0.6332788523993409,2.629641948580924e-05,0.0046100300931805,0.3711189615838231,0.2953027305080235,-0.00029210770481029324,0.021463412621375,-1.3054938986802196,-1.1898594180220894
calg,0.0188,5.84003900592489e-05,0.0100376857690862,0.7573324102788455,0.6135789872590782,2.723254847392803e-05,0.0046806494792835,0.3531498486574574,0.2861165345350876,-0.00028788229849240066,0.0211270716275162,-1.68173671747237,-1.5455372193034898
calg,0.019,6.043634276320376e-05,0.0101797733323435,0.7105481545456184,0.5871349682923922,2.818192875612968e-05,0.0047469059865866,0.3313339937243491,0.273785488408073,-0.0002837389039554994,0.0207170130582826,-2.050323689779817,-1.8943445621051305
calg,0.0192,6.249856348808369e-05,0.0103111135216567,0.6568079131367528,0.5546433743334293,2.9143558015455595e-05,0.0048081509115714,0.306274509878707,0.2586344121866131,-0.0002796919159587935,0.0202349806979731,-2.4101916342439957,-2.2351709419717882
calg,0.0194,6.458467762883446e-05,0.0104305806844288,0.5974391966394612,0.51688072751636,3.011632895542904e-05,0.0048638593539193,0.2785904255159604,0.24102540410089265,-0.00027575533949519837,0.0196829233772019,-2.760315331735538,-2.566950239491266
calg,0.0195999999999999,6.669213862733891e-05,0.010537315059999,0.533771498692061,0.47467871397512174,3.1099054096629664e-05,0.0049136304007652,0.2489016937392311,0.221346285773338,-0.0002719427501955002,0.0190629879196277,-3.099704831778827,-2.888659632566859
calg,0.0198,6.881828008598045e-05,0.0106307174544148,0.467107692459485,0.4289008803915795,3.209049007775466e-05,0.004957184643502,0.2178158543149395,0.1999997356397314,-0.00026826725605300084,0.0183775125123087,-3.427403333787286,-3.199318645539157
calg,0.02,7.096036582492081e-05,0.0107104389534857,0.3986992203382438,0.3804211694508134,3.308936099711418e-05,0.0049943593808965,0.1859164644402689,0.1773932798668183,-0.0002647414604181886,0.0176290203731397,-3.7424857010322974,-3.497988410436126
calg,0.0202,7.311563704479052e-05,0.0107763664593117,0.3297252096864504,0.3301045735203535,3.4094380405906566e-05,0.0050251018746602,0.1537533602469266,0.1539302710140132,-0.00026137742622529825,0.016820213582668,-4.044057638171898,-3.783771198297445
calg,0.0204,7.528135591915176e-05,0.0108286048409503,0.2612755419933943,0.27879010525268616,3.510427163472968e-05,0.0050494610261667,0.1218347618234418,0.13000194709429427,-0.0002581866414491929,0.0159539669458146,-4.3312555412006555,-4.055810261605362
calg,0.0206,7.745484509769085e-05,0.0108674564764361,0.1943378082729803,0.22727620782309116,3.611778621510908e-05,0.0050675778367358,0.0906211904147023,0.10598062825583311,-0.000255179985806292,0.0150333217516976,-4.60324700647836,-4.313290012707314
