case_id,resolution,curvature_a,apex_x0,apex_y0,expected_gap,calg_gap,linear_gap,calg_error,linear_error,calg_elapsed_s,linear_elapsed_s,calg_candidate_pairs,linear_candidate_pairs,calg_contacts,linear_contacts,calg_better,error_ratio_linear_over_calg,notes
18,7,1.1315535658959945,-0.009800855884124783,0.049338533439859625,0.0653691261649812,0.0653691261649812,0.07831831530788486,0.0,0.012949189142903661,1.7100001059588976e-07,9.024299993143359e-05,1,98,1,1,True,1294918914290.3662,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
19,8,1.199221616961061,-0.020241950016521695,-0.04851331880806385,0.0407606143052015,0.0407606143052015,0.04407439778666756,0.0,0.003313783481466062,1.9200001588615123e-07,0.0002522279999084276,1,128,1,1,True,331378348146.6062,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
20,12,0.9636349242110307,-0.04808432346138868,0.04055834399532676,0.0413899295983368,0.0413899295983368,0.045203111462600525,0.0,0.003813181864263722,2.980000317620579e-07,0.0003433909998875606,1,288,1,1,True,381318186426.3722,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
21,4,0.7005810982633475,-0.1458990104993802,0.03843028477799607,0.036545557314590346,0.036545557314590346,0.052493170728449,0.0,0.015947613413858655,3.80999836124829e-07,0.00011235099987061403,1,32,1,1,True,1594761341385.8655,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
22,8,0.9682440792147065,0.02420879504051423,-0.030963252354406327,0.04908264399634451,0.04908264399634451,0.05057837656072903,0.0,0.001495732564384518,3.4300001061637886e-07,0.00018665699985831452,1,128,1,1,True,149573256438.45178,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
23,3,1.1432152425570115,-0.07390677952582911,-0.04188754759828151,0.03962641494879025,0.03962641494879025,0.11443174778903316,0.0,0.0748053328402429,2.839999524439918e-07,9.001000012176519e-05,1,18,1,1,True,7480533284024.291,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
24,3,1.0051586375599737,0.21887540037103928,0.19235976698506163,0.03767002986582622,0.03767002986582622,0.04949259768788522,0.0,0.011822567822059003,3.2100001590151805e-07,9.124899997914326e-05,1,18,1,1,True,1182256782205.9004,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
25,3,0.8522134219177914,0.09415842383000936,-0.18283307681466543,0.036972906215181366,0.036972906215181366,0.08794046109741575,0.0,0.05096755488223439,2.950000634882599e-07,0.00012658300011025858,1,18,1,1,True,5096755488223.438,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
26,5,0.7237174250257533,0.09115640361412529,0.07792634116875533,0.06658962057974044,0.06658962057974044,0.07932755935924338,0.0,0.012737938779502939,2.7100008992420044e-07,0.00012748700009979075,1,50,1,1,True,1273793877950.294,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
27,10,0.8735962293791684,-0.0456100340117388,-0.013806274129418743,0.04643288590547883,0.04643288590547883,0.0484167254559512,0.0,0.00198383955047237,4.529999841906829e-07,0.00023711700009698689,1,200,1,1,True,198383955047.23703,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
28,7,0.7822143964102147,-0.05343631921570289,0.02517294356081697,0.06438758394615002,0.06438758394615002,0.07546321616656282,0.0,0.011075632220412801,2.6900011107500177e-07,0.0001681220001046313,1,98,1,1,True,1107563222041.28,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
29,7,0.9096061523771422,0.054652333712533134,-0.01552714979493625,0.0619338528675214,0.0619338528675214,0.07253434377967934,0.0,0.010600490912157937,2.8299996301939245e-07,0.00015541300012955617,1,98,1,1,True,1060049091215.7937,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
30,10,0.7612003894757596,0.06058614111340955,-0.05105211549579656,0.0569644919232975,0.0569644919232975,0.06174254600045008,0.0,0.00477805407715258,2.760000370471971e-07,0.0002521690000776289,1,200,1,1,True,477805407715.258,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
31,7,1.0594793482967926,-0.056617179385958775,0.049099245977198704,0.060478655884924265,0.060478655884924265,0.06476150322919778,0.0,0.004282847344273519,2.0699985725514125e-07,0.0001640939999560942,1,98,1,1,True,428284734427.35187,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
32,8,0.7710535368334835,-0.03809975360309736,0.027430183298211033,0.06499377731696705,0.06499377731696705,0.06669318407755977,0.0,0.0016994067605927143,2.869999207177898e-07,0.0004493989999900805,1,128,1,1,True,169940676059.27142,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
