method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.009,-8.503773868226427e-06,-0.0023296684052928,1.6031826734522912,-3.965374877984429e-06,-0.0010863422183497,0.7475763580522072,-0.00033015925224379183,-0.0339016128075292,10.810519992981481,-0.0001305522015871,48.84359419077301
CALG,0.0092,-8.84024470206024e-06,-0.0016823515998701,1.927516628775859,-4.122273804516019e-06,-0.0007844934347287,0.8988157652192877,-0.0003364961851486936,-0.0316846539459792,10.73089073950317,-0.0001368891787771,48.78722032196296
CALG,0.0094,-9.037490370164549e-06,-0.0009862258174686,2.201169641214347,-4.214250970094313e-06,-0.0004598846513558,1.0264222605965396,-0.00034239476680898717,-0.0294928979129675,10.627526302291496,-0.0001427877871775,48.64631258218583
CALG,0.0096,-9.088843524476808e-06,-0.0002567633129443,2.4229568360276224,-4.2381973392249805e-06,-0.0001197306991591,1.1298433280186841,-0.00034786070066449015,-0.0273296591551073,10.502411626899029,-0.0001482537280605,48.42377756162219
CALG,0.0098,-8.990557545121569e-06,0.000491432280568,2.5930034698088886,-4.192365834369827e-06,0.0002291586358934,1.209137375594367,-0.00035290032837319296,-0.0251981287287351,10.357234890610465,-0.0001532933422348,48.12299245987566
CALG,0.01,-8.741586993210593e-06,0.0012448550647904,2.712590520720551,-4.076268959374296e-06,0.0005804854500048,1.2649017332506471,-0.0003575206133635961,-0.0231014154606691,10.19342925402847,-0.0001579135936637,47.7477716544767
CALG,0.0102,-8.343332563567896e-06,0.0019912743768813,2.783991950731732,-3.890559868921506e-06,0.0009285464914275,1.2981967668680792,-0.0003617291301619002,-0.0210425748162464,10.012214733590767,-0.0001621220587634,47.30231543002921
CALG,0.0104,-7.799360453975002e-06,0.0027198627067821,2.8103083635361457,-3.636901508390078e-06,0.0012682928093026,1.3104683116939453,-0.0003655340572354948,-0.0190246264796167,9.814639108824338,-0.0001659269191341,46.79114718944663
CALG,0.0106,-7.115105482499717e-06,0.00342127695705,2.7953013026871814,-3.31782817505899e-06,0.0015953676457416,1.303470404293675,-0.00036894417132658786,-0.0170505618110355,9.601616939204641,-0.0001693369557173,46.21904469544961
CALG,0.0108,-6.2975665545417225e-06,0.0040876966936323,2.7432319150055045,-2.936603512110336e-06,0.0019061242724556,1.279190050062268,-0.00037196884150939025,-0.0151233424583333,9.373965928119755,-0.0001723615426292,45.59096996666398
CALG,0.011,-5.355002241497209e-06,0.0047128235891381,2.654848606103877,-2.4970785546321594e-06,0.0021976257311486,1.2379762362683608,-0.00037461802146938894,-0.0132458914678079,9.146673089237833,-0.0001750106391896,44.91200147057906
