method,time,ux_m,vx_m_s,ax_m_s2,uy_m,vy_m_s,ay_m_s2,uz_m,vz_m_s,az_m_s2,gap_m,contact_force_N
calg,0.2398,0.0119226081442061,0.0948774814140099,0.31469480157751495,0.0055596034828242,0.0442420961698089,0.14674459595717193,0.0007785270799781085,0.0174389329780738,0.2003351081658131,-0.0001093854616633,22.607894877227075
calg,0.24,0.0119415959489455,0.094940399944435,0.31447770008836884,0.0055684576415858,0.044271435562386,0.14664335987018648,0.0007820219015508001,0.0174790035579885,0.20059720062379646,-0.0001093813139397,22.608285667147676
calg,0.2402,0.011960596328219,0.095003274838454,0.31426037464884765,0.0055773176639489,0.0443007546069727,0.14654201935342648,0.0007855247458357084,0.017519123944343,0.20085933031577854,-0.0001093771698681,22.608679146052964
calg,0.2404,0.0119796092732904,0.0950661060528006,0.31404282553967516,0.0055861835458397,0.0443300532833937,0.1464405745377949,0.0007890356228426043,0.0175592943815931,0.2011214990367378,-0.0001093730299788,22.609075426235943
calg,0.2406,0.0119986347754148,0.0951288935448206,0.3138250530455478,0.0055950552831807,0.044359331571759,0.1463390255560483,0.0007925545426320096,0.0175995151230901,0.20138370842259964,-0.0001093688947539,22.6094746100648
calg,0.2408,0.0120176728258392,0.0951916372724636,0.3136070574541983,0.0056039328718899,0.0443885894524601,0.14623737254235822,0.0007960815153165018,0.017639786430164,0.20164595994288373,-0.0001093647646253,22.6098767895644
calg,0.241,0.012036723415802,0.0952543371942737,0.3133888390555519,0.0056128163078818,0.0444178269061658,0.1461356156319194,0.0007996165510629066,0.0176801085711765,0.20190825489377134,-0.0001093606399731,22.610282046077486
calg,0.2412,0.0120557865365336,0.0953169932693783,0.3131703981403765,0.0056217055870674,0.0444470439138171,0.14603375496031895,0.0008031596600925062,0.0177204818205499,0.20217059439265891,-0.0001093565211238,22.610690449973617
calg,0.2414,0.0120748621792563,0.0953796054574723,0.3129517349997636,0.0056306007053531,0.0444762404566191,0.14593179066329534,0.0008067108526822048,0.0177609064577775,0.20243297937192806,-0.0001093524083501,22.61110206044384
calg,0.2416,0.0120939503351844,0.0954421737188001,0.3127328499238822,0.0056395016586424,0.0445054165160337,0.14582972287615634,0.0008102701391664024,0.0178013827664187,0.20269541057462634,-0.0001093483018693,22.611516925308656
calg,0.2418,0.0121130509955244,0.0955046980141443,0.3125137432008325,0.0056484084428346,0.0445345720737735,0.14572755173324536,0.0008138375299360096,0.0178419110330634,0.20295788855063981,-0.0001093442018419,22.611935080699904
calg,0.242,0.0121321641514751,0.0955671783048008,0.3122944151157693,0.005657321053826,0.0445637071117904,0.14562527736753197,0.0008174130354403064,0.0178824915463079,0.20322041365317836,-0.0001093401083724,22.612356551144096
calg,0.2422,0.0121512897942276,0.0956296145525607,0.3120748659499939,0.0056662394875085,0.0445928216122673,0.1455228999101895,0.0008209966661861107,0.0179231245957078,0.20348298603601161,-0.0001093360215078,22.61278134932762
calg,0.2424,0.0121704279149655,0.0956920067196876,0.31185509598009215,0.0056751637397712,0.0446219155576075,0.1454204194901922,0.0008245884327381103,0.0179638104707339,0.20374560565132976,-0.0001093319412381,22.61320947611864
calg,0.2426,0.0121895785048647,0.095754354768892,0.3116351054767205,0.0056840938064995,0.0446509889304225,0.14531783623374925,0.0008281883457190026,0.0180045494597315,0.20400827224898463,-0.0001093278674959,22.61364092058673
calg,0.2428,0.0122087415550942,0.0958166586633115,0.31141489470374395,0.005693029683575,0.0446800417135232,0.14521515026390241,0.0008317964158084112,0.0180453418488703,0.20427098537590097,-0.0001093238001566,22.61407565992333
calg,0.243,0.0122279170568153,0.0958789183664787,0.3111944639176339,0.0057019713668767,0.0447090738899045,0.14511236170024663,0.0008354126537424011,0.0180861879211221,0.20453374437579885,-0.0001093197390392,22.61451365971833
calg,0.2432,0.0122471050011824,0.0959411338422928,0.3109738133662536,0.0057109188522792,0.0447380854427324,0.1450094706583624,0.0008390370703135058,0.0181270879552423,0.20479654839070122,-0.0001093156839072,22.61495487400721
calg,0.2434,0.0122663053793423,0.0960033050549998,0.31075294328816516,0.0057198721356546,0.0447670763553345,0.14490647724949368,0.0008426696763682018,0.0181680422247488,0.20505939636236808,-0.000109311634468,22.61539924526939
calg,0.2436,0.0122855181824352,0.0960654319691539,0.31053185391176663,0.0057288312128712,0.0447960466111821,0.14480338158014341,0.0008463104828067003,0.0182090509969517,0.20532228703475125,-0.0001093075903758,22.6158467049486
calg,0.2438,0.0123047434015939,0.0961275145495899,0.31031054545468223,0.0057377960797948,0.0448249961938774,0.1447001837517915,0.0008499595005813099,0.0182501145319834,0.20558521895680754,-0.0001093035512317,22.61629717348705
calg,0.244,0.0123239810279445,0.0961895527613932,0.3100890181227958,0.0057467667322868,0.0448539250871395,0.14459688386044284,0.0008536167406946044,0.0182912330818602,0.20584819048663777,-0.0001092995165853,22.616750560663974
calg,0.2442,0.0123432310526059,0.0962515465698651,0.3098672721097425,0.0057557431662062,0.0448828332747882,0.14449348199639142,0.0008572822141982017,0.0183324068895765,0.20611119979563575,-0.0001092954859368,22.6172067659692
calg,0.2444,0.0123624934666903,0.0963134959404962,0.30964530759630177,0.0057647253774083,0.0449117207407313,0.14438997824393587,0.0008609559321895999,0.0183736361882199,0.2063742448734911,-0.0001092914587377,22.61766567883748
calg,0.2446,0.0123817682613031,0.0963754008389253,0.3094231247495128,0.0057737133617456,0.0449405874689461,0.1442863726809678,0.0008646379058113024,0.0184149212001431,0.20663732353440273,-0.0001092874343941,22.618127179267876
calg,0.2448,0.0124010554275424,0.0964372612309123,0.3092007237225609,0.0057827071150671,0.0449694334434661,0.14418266537891866,0.0008683281462478071,0.0184562621361524,0.20690043342269476,-0.0001092834122677,22.61859113803137
calg,0.245,0.0124203549565,0.0964990770823015,0.3089781046539901,0.0057917066332188,0.0449982586483643,0.14407885640239268,0.0008720266647233993,0.0184976591947514,0.2071635720201967,-0.000109279391679,22.619057417284225
calg,0.2452,0.0124396668392606,0.0965608483589896,0.3087552676672719,0.0058007119120434,0.045027063067738,0.14397494580896553,0.0008757334724993071,0.0185391125614229,0.20742673665372158,-0.0001092753719087,22.61952587098871
calg,0.2454,0.0124589910669021,0.096622575026891,0.30853221287024507,0.0058097229473805,0.0450558466856927,0.14387093364892364,0.0008794485808713004,0.0185806224079602,0.20768992450338788,-0.0001092713522013,22.61999634548568
calg,0.2456,0.0124783276304957,0.0966842570519037,0.3083089403552982,0.0058187397350665,0.0450846094863267,0.14376681996534857,0.0008831720011664018,0.0186221888918469,0.2079531326102959,-0.0001092673317671,22.62046868002114
calg,0.2458,0.0124976765211056,0.0967458943998754,0.30808545019850936,0.0058277622709347,0.0451133514537142,0.14366260479371612,0.0008869037447406108,0.01866381215569,0.20821635788649104,-0.0001092633097852,22.620942707360395
calg,0.246,0.0125170377297893,0.0968074870365743,0.3078617424598584,0.005836790550815,0.0451420725718929,0.1435582881619947,0.0008906438229746017,0.0187054923266955,0.20847959712371147,-0.0001092592854064,22.621418254275472
calg,0.2462,0.0125364112475973,0.0968690349276496,0.3076378171827954,0.0058458245705343,0.0451707728248446,0.14345387009044627,0.0008943922472722104,0.0187472295162203,0.20874284700367693,-0.0001092552577566,22.621895142373823
calg,0.2464,0.0125557970655733,0.0969305380386061,0.30741367439409345,0.0058548643259161,0.045199452196484,0.1433493505915547,0.0008981490290557032,0.0187890238193565,0.20900610410842113,-0.000109251225939,22.6223731885012
calg,0.2466,0.0125751951747541,0.0969919963347673,0.3071893141038987,0.0058639098127808,0.0452281106706411,0.14324472967005147,0.0009019141797631108,0.0188308753145941,0.2092693649307074,-0.0001092471890384,22.62285220559973
calg,0.2468,0.0125946055661695,0.0970534097812457,0.30696473630592963,0.0058729610269454,0.0452567482310477,0.14314000732300758,0.0009056877108452044,0.0188727840635331,0.2095326258845714,-0.0001092431461237,22.62333200327396
calg,0.247,0.0126140282308421,0.0971147783429167,0.30673994097702534,0.005882017964224,0.0452853648613249,0.1430351835396228,0.0009094696337611091,0.0189147501106503,0.20979588331732948,-0.0001092390962512,22.62381238842944
calg,0.2472,0.0126334631597877,0.0971761019843837,0.30651492807774305,0.005891080620427,0.0453139605449669,0.142930258301504,0.0009132599599757096,0.0189567734831449,0.21005913352018374,-0.0001092350384686,22.62429316611837
calg,0.2474,0.0126529103440146,0.0972373806699527,0.3062896975522795,0.0059001489913615,0.0453425352653294,0.14282523158263044,0.0009170587009556114,0.018998854190829,0.21032237274015694,-0.0001092309718176,22.624774140092267
calg,0.2476,0.0126723697745244,0.0972986143636024,0.3060642493288,0.0059092230728314,0.0453710890056154,0.14272010334950486,0.0009208658681661014,0.0190409922260935,0.21058559719164707,-0.0001092268953379,22.625255113616785
calg,0.2478,0.012691841442311,0.0973598030289608,0.3058385833197471,0.0059183028606373,0.0453996217488643,0.14261487356129865,0.0009246814730676095,0.019083187563924,0.21084880306816034,-0.0001092228080703,22.625735890073397
calg,0.248,0.0127113253383609,0.0974209466292824,0.30561269942188435,0.0059273883505761,0.0454281334779414,0.1425095421698717,0.0009285055271117115,0.0191254401619803,0.2111119865546657,-0.0001092187090598,22.626216273665143
calg,0.2482,0.0127308214536537,0.0974820451274169,0.3053865975172428,0.0059364795384414,0.0454566241755233,0.14240410912021387,0.000932338041738312,0.0191677499607556,0.2113751438385302,-0.0001092145973601,22.62669607029126
calg,0.2484,0.0127503297791609,0.0975430984857953,0.30516027747294966,0.0059455764200232,0.0454850938240913,0.14229857435036627,0.0009361790283721055,0.0192101168837691,0.21163827112237252,-0.0001092104720353,22.62717508797548
calg,0.2486,0.0127698503058468,0.0976041066664048,0.3049337391422275,0.0059546789911081,0.0455135424059196,0.1421929377918848,0.0009400284984189128,0.0192525408378398,0.21190136463497594,-0.0001092063321647,22.627653137750467
calg,0.2488,0.0127893830246678,0.0976650696307687,0.30470698236477234,0.0059637872474788,0.0455419699030663,0.14208719937001893,0.0009438864632627109,0.0192950217134147,0.2121644206432191,-0.0001092021768453,22.628130034277905
calg,0.249,0.0128089279265726,0.0977259873399326,0.30448000696708394,0.005972901184915,0.0455703762973667,0.14198135900386424,0.0009477529342626079,0.019337559384947,0.21242743546397705,-0.0001091980051949,22.628605596440853
calg,0.2492,0.0128284850025018,0.0977868597544448,0.30425281276352206,0.0059820207991919,0.0455987615704242,0.1418754166068554,0.0009516279227492069,0.0193801537113436,0.21269040547474496,-0.0001091938163557,22.629079648090357
calg,0.2494,0.0128480542433885,0.0978476868343441,0.30402539955659824,0.0059911460860815,0.0456271257036044,0.14176937208690193,0.0009555114400221082,0.0194228045364577,0.21295332712531712,-0.0001091896094969,22.62955201859877
calg,0.2496,0.012867635640157,0.0979084685391445,0.303797767138106,0.0060002770413521,0.0456554686780286,0.14166322534691533,0.0009594034973464116,0.0194655116896439,0.2132161969479066,-0.0001091853838179,22.63002254352691
